,EPDL97 Energy [keV],S08 EPDL97 EA [cm^2],S09 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2],S08+S09+S10 EA [cm^2]
0,1.0,2.298363570070556,2.09285756540532,1.8160300257396287,6.207251161215504
1,1.03808,2.2979884029118818,2.092540846010761,1.8157961942984353,6.206325443221079
2,1.0761500000000002,2.2979061081803014,2.092483660564521,1.815769579337649,6.206159348082471
3,1.11423,2.2981142654425333,2.0926772113056407,1.8159482797886424,6.206739756536816
4,1.1522999999999999,2.297637440086025,2.0922769131819616,1.8156479109454833,6.205562264213469
5,1.1903800000000002,2.296511938610002,2.0913047605958837,1.814891285631703,6.202707984837588
6,1.22846,2.2955897535296472,2.090512962109485,1.8142810426022469,6.200383758241379
7,1.26653,2.2948757257115253,2.0899059166032465,1.8138171818571152,6.198598824171888
8,1.3046099999999998,2.2943698551556353,2.0894792251966874,1.8135016044649352,6.197350684817258
9,1.3426900000000002,2.2940745622952594,2.089237286770288,1.81333240935708,6.196644258422627
10,1.38076,2.2935372261067064,2.088784202080849,1.8129959202099968,6.195317348397553
11,1.4188399999999999,2.2917993550103954,2.0872819843969324,1.8118191587295194,6.190900498136847
12,1.4569100000000001,2.2901921873113,2.085894137605495,1.810733648543166,6.1868199734599605
13,1.49499,2.2887181434427024,2.084622861146778,1.8097431917881919,6.183084196377672
14,1.53307,2.2873820642711653,2.0834725539012604,1.808851590601853,6.179706208774279
15,1.5711400000000002,2.286186370229971,2.0824454153091825,1.8080588449841484,6.176690630523302
16,1.60922,2.2851359021856825,2.0815458442510244,1.8073687570723336,6.17405050350904
17,1.64729,2.28324554379262,2.0799138595929483,1.8060912389545938,6.169250642340161
18,1.6853699999999998,2.2812390046020328,2.078178501243592,1.8047338759544953,6.16415138180012
19,1.7234500000000001,2.278339325530472,2.075664541049277,1.8027529624445475,6.156756829024296
20,1.76152,2.2754832142579833,2.0731857718988027,1.8008005649640138,6.1494695511208
21,1.7995999999999999,2.2724092639901357,2.0705178508876885,1.798696081993273,6.141623196871097
22,1.83768,2.2674207509964073,2.0661761558539378,1.7952532467087092,6.128850153559054
23,1.87575,2.2622966937389,2.0617156910472274,1.7917153579927663,6.115727742778894
24,1.91383,2.2554178223521095,2.05572221639324,1.7869474778747731,6.098087516620123
25,1.9519000000000002,2.2452326391024213,2.0468298795029396,1.7798602940311217,6.071922812636482
26,1.98998,2.226370202537587,2.030347274344415,1.7666839873733027,6.023401464255305
27,2.02806,2.1201373858006987,1.9372603650670963,1.6919111561129745,5.749308906980769
28,2.0661300000000002,1.9561965987598486,1.7931178494987674,1.5753870556535383,5.324701503912154
29,2.10421,1.9767654407883306,1.8112258409946482,1.5900595033212697,5.378050785104248
30,2.1422800000000004,1.9665802575386422,1.8022587231361877,1.5827993222325076,5.351638302907338
31,2.1803600000000003,1.9897292814454912,1.8226497336011838,1.5993424214297864,5.411721436476461
32,2.21844,2.002632611270607,1.834027437962679,1.6085911203030065,5.445251169536292
33,2.25651,2.0110726621241395,1.8414791414957832,1.614657430293643,5.467209233913565
34,2.2945900000000004,2.0168115094352164,1.846553250129452,1.6188036609704144,5.482168420535083
35,2.3326700000000002,2.02227200691889,1.8513832208964816,1.6227502794412891,5.496405507256661
36,2.3707399999999996,2.0274226889424964,1.8559404610737518,1.6264782750199909,5.509841425036239
37,2.40882,2.0320529778105225,1.8600402176811028,1.6298393643535682,5.521932559845194
38,2.44689,2.036700209711521,1.864157569810374,1.6332137611675384,5.534071540689434
39,2.4849699999999997,2.035625537334415,1.8632448021107761,1.6325255743243514,5.531395913769543
40,2.52305,2.0222550638859174,1.8515195861913611,1.623092471794255,5.496867121871533
41,2.56112,2.0122320496661077,1.8427284235521004,1.616016694362369,5.4709771675805765
42,2.5991999999999997,2.0256630339466497,1.8545702098042347,1.6256399037552243,5.505873147506109
43,2.63727,2.034025630935165,1.8619559301301387,1.6316605880987984,5.527642149164103
44,2.67535,2.0408730366892924,1.8680065902303657,1.636601465461902,5.545481092381561
45,2.71343,2.0446561739086997,1.8713695343573185,1.6393713224522992,5.555397030718318
46,2.7515,2.048565173658758,1.874838051615791,1.6422267275309377,5.5656299528054864
47,2.78958,2.051871485521656,1.8777809026569046,1.6446562932369964,5.574308681415557
48,2.82766,2.053270495958519,1.879047780235142,1.6457361002174669,5.578054376411128
49,2.86573,2.052880806200154,1.8787420580417826,1.6455440922860805,5.577166956528017
50,2.90381,2.046815200396038,1.8734458059438739,1.6413199177955777,5.561580924135489
51,2.9418800000000003,2.0472242536206573,1.8738395057468331,1.6416906261779578,5.562754385545448
52,2.97996,2.0514309666643737,1.877574155274345,1.6447608520115138,5.573765973950232
53,3.01804,2.0533431089569723,1.8792919181017813,1.6462056641684812,5.578840691227235
54,3.0561100000000003,2.055352068580841,1.8810932596583376,1.6477208158646697,5.584166144103849
55,3.09419,2.0561919589296154,1.8818718615032957,1.6484071016392292,5.58647092207214
56,3.13226,2.0552818760156697,1.8811108551802576,1.647853890668601,5.584246621864528
57,3.17034,2.0540498754752488,1.8800683205064999,1.6470687493254068,5.581186945307156
58,3.2084200000000003,2.0540619776416578,1.8801145087515396,1.647165703825414,5.581342190218612
59,3.2464899999999997,2.0561266072310076,1.8819708363140955,1.6487226790314091,5.586820122576512
60,3.28457,2.0573537669048654,1.8830903513962534,1.6496884218942243,5.590132540195343
61,3.32265,2.058658380443739,1.8842758496856107,1.650707394678612,5.593641624807962
62,3.3607199999999997,2.0600356069810664,1.885527331182168,1.6517814984531998,5.597344436616434
