,Lab Energy [keV],Lab EA [cm^2],error [cm^2]
94,9.8,12.69015794,0.438625994
95,9.9,13.36623234,0.493015366
96,10.0,13.28418728,0.493596234
97,10.1,12.22656775,0.448738686
98,10.2,11.82756369,0.442754365
99,10.3,11.1079825,0.410277433
100,10.4,11.53030043,0.438070462
101,10.5,11.38523204,0.440609636
102,10.6,11.74212031,0.469992245
103,10.7,10.98084954,0.436017697
104,10.8,10.32023597,0.408078801
105,10.9,9.508023246,0.376339993
106,11.0,9.320356508,0.372998708
107,11.1,9.048230709,0.370892924
108,11.2,7.770943628,0.314621527
109,11.3,5.892054645,0.241229425
110,11.4,4.669173985,0.195068171
111,11.5,4.508441169,0.189631172
112,11.6,4.905620809,0.214294634
113,11.7,4.575386413,0.198691481
114,11.8,4.584902731,0.199908669
115,11.9,4.773032019,0.216859126
116,12.0,4.415059676,0.19832407
117,12.1,4.312842121,0.194882567
118,12.2,4.153832287,0.191246283
119,12.3,3.88911937,0.17791458
120,12.4,4.086233822,0.196256668
121,12.5,3.74161883,0.176972773
122,12.6,3.74986945,0.181005848
123,12.7,3.234692544,0.155173962
124,12.8,3.153617486,0.15997556
125,12.9,2.914357861,0.152660461
126,13.0,2.565450924,0.138368851
127,13.1,2.464286872,0.130157855
128,13.2,2.422581107,0.132511993
129,13.3,2.262858786,0.118776002
130,13.4,2.185706989,0.121182681
131,13.5,2.043273291,0.116124191
132,13.6,1.919196692,0.10844725
133,13.7,2.050819283,0.120421787
134,13.8,1.848231863,0.107008231
135,13.9,1.715785471,0.099697268
136,14.0,1.91199389,0.115376298
137,14.1,1.867416504,0.114598021
138,14.2,1.611524534,0.098020446
139,14.3,1.696460033,0.106636372
140,14.4,1.608259124,0.103188513
141,14.5,1.643265947,0.112682599
142,14.6,1.446182862,0.093564221
143,14.7,1.560543982,0.107254835
144,14.8,1.428228356,0.09880806
145,14.9,1.153182802,0.078955679
146,15.0,1.38822775,0.102212124
147,15.1,1.322758695,0.098884215
148,15.2,1.126742161,0.083631281
149,15.3,1.10071575,0.082927989
150,15.4,0.887866933,0.064926132
151,15.5,1.032279926,0.08061813
152,15.6,1.033780333,0.082119492
153,15.7,0.892825801,0.076543604
154,15.8,0.733870434,0.059923583
155,15.9,0.740982543,0.062528089
156,16.0,0.711907335,0.06171195
157,16.1,0.735392078,0.068020428
158,16.2,0.660851618,0.060782984
159,16.3,0.657378263,0.05952423
160,16.4,0.65000235,0.067406001
161,16.5,0.613038966,0.058999819
162,16.6,0.568744089,0.056196216
163,16.7,0.576531339,0.060344574
164,16.8,0.531204048,0.055682814
165,16.9,0.519645864,0.054528412
166,17.0,0.588797964,0.061939406
167,17.1,0.479576202,0.052383523
168,17.2,0.349894882,0.03960142
169,17.3,0.255000255,0.021781285
170,17.4,0.272782336,0.013669223
171,17.5,0.264199933,0.009889986
172,17.6,0.287821151,0.011248108
173,17.7,0.357753483,0.020453117
174,17.8,0.298704656,0.031637064
175,17.9,0.387042018,0.052625276
176,18.0,0.324323242,0.045122281
177,18.1,0.175323133,0.033470396
178,18.2,0.181763575,0.031070823
179,18.3,0.164173552,0.029115527
180,18.4,0.220893233,0.036259101
181,18.5,0.227536154,0.037874644
182,18.6,0.152681403,0.031041047
183,18.7,0.174947441,0.034387905
184,18.8,0.172197071,0.032351323
185,18.9,0.152681403,0.031041047
186,19.0,0.171938517,0.035380227
187,19.1,0.112796545,0.024477682
188,19.2,0.135577749,0.029285503
189,19.3,0.080869387,0.022167838
190,19.4,0.109684916,0.026556594
191,19.5,0.066965528,0.015742335
192,19.6,0.068982562,0.012104391
193,19.7,0.05987506,0.009902571
194,19.8,0.083280765,0.014760712
195,19.9,0.111966362,0.025886891
196,20.0,0.061423553,0.01719038
197,20.1,0.09823252,0.023031701
198,20.2,0.108149327,0.028372153
199,20.3,0.071825929,0.028639203
200,20.4,0.065488347,0.025995081
201,20.5,0.035740029,0.016426265
202,20.6,0.039760782,0.020492238
203,20.7,0.055319349,0.023545479
204,20.8,0.04171623,0.02153113
205,20.9,0.028916932,0.017070419
206,21.0,0.075478095,0.030172957
207,21.1,0.04712389,0.024419021
208,21.2,0.056970673,0.024277265
209,21.3,0.046267092,0.023960003
210,21.4,0.011566773,0.011671452
211,21.5,0.059641173,0.025464173
212,21.6,0.066965528,0.02874144
213,21.7,0.037421912,0.022231929
214,21.8,0.082979023,0.036017656
215,21.9,0.02156517,0.015505179
216,22.0,0.049895883,0.025907826
217,22.1,0.02156517,0.015505179
218,22.2,0.013535585,0.013678823
219,22.3,0.034700319,0.020573373
220,22.4,0.019880391,0.014275519
221,22.5,0.059178838,0.030935073
222,22.6,0.053014376,0.031857675
223,22.7,0.05193245,0.027005282
224,22.8,0.03855591,0.028077149
225,22.9,0.044384129,0.026504021
226,23.0,0.042411501,0.030972981
227,23.1,0.033482764,0.02429095
228,23.2,0.03855591,0.028077149
229,23.3,0.0254469,0.025950848
