,EPDL97 Energy [keV],S1 EPDL97 EA [cm^2],S2 EPDL97 EA [cm^2],S3 EPDL97 EA [cm^2],S4 EPDL97 EA [cm^2],S5 EPDL97 EA [cm^2],S6 EPDL97 EA [cm^2],S7 EPDL97 EA [cm^2]
0,1.0,4.650982837147822,4.214367121082186,3.8047382367866276,3.4212172800255183,3.0628841947772223,2.827479137081739,2.5123894230860806
1,1.03808,4.649371765614027,4.213053690922421,3.803683536894377,3.4203748375411474,3.0622208069861303,2.826906965115877,2.511943997815417
2,1.0761500000000002,4.648598852790959,4.212469440954801,3.8032478114562656,3.420057554008072,3.061999677722433,2.8267332165607986,2.511832641497751
3,1.11423,4.64865406084975,4.212596254901261,3.803422916071581,3.4202654294262937,3.062224058887067,2.826951900087018,2.5120500514512893
4,1.1522999999999999,4.646686646391034,4.210992964292445,3.8021238841579597,3.419222405398025,3.061391572247266,2.826235936213505,2.511490618522063
5,1.1903800000000002,4.642796987703521,4.207732034240614,3.7994117987207434,3.4169831859806923,3.05956075201989,2.8246272642466574,2.5101914614826284
6,1.22846,4.6394895230905275,4.204978359974624,3.7971354387216385,3.4151159541538614,3.05804211428244,2.823294193436141,2.5091256224421126
7,1.26653,4.636764252552051,4.202731941494474,3.795294804160645,3.4136207099175313,3.0568389109358516,2.8222457107761847,2.5082957527414123
8,1.3046099999999998,4.634636232831399,4.200997307869681,3.7938898950377626,3.4124974532717034,3.0559511419801257,2.821478820602045,2.507699201039631
9,1.3426900000000002,4.633105463928572,4.199774459100245,3.7929329279540602,3.4117534780907004,3.055382059316199,2.8209995142432076,2.507341270018562
10,1.38076,4.630836914603726,4.19792659873754,3.791438430423342,3.410557282701637,3.0544325042426754,2.8201816977684415,2.5067075995442254
11,1.4188399999999999,4.625040068430723,4.193048790868343,3.787358085666449,3.407172925015505,3.051645625139903,2.8177252526794008,2.5047111398489306
12,1.4569100000000001,4.619599565182641,4.188478959726265,3.783546506133064,3.4040146774334046,3.0490538600933337,2.815442556145438,2.502863155243857
13,1.49499,4.6145354805172225,4.1842352215893674,3.7800159084242555,3.4010971277039808,3.0466637129048415,2.8133395994960395,2.5011636457290045
14,1.53307,4.609847814434465,4.180317576457655,3.7767662925400236,3.3984202758272346,3.0444784354753627,2.8114223740606903,2.499620565327063
15,1.5711400000000002,4.605551623677677,4.17674414060919,3.773809875081436,3.395995062614651,3.0425077835077077,2.8096938755041334,2.4982365653789307
16,1.60922,4.601661964990165,4.173514914043975,3.7711548004492066,3.393828781940554,3.0407517570018765,2.808163090820597,2.4970169485664
17,1.64729,4.595282924742644,4.168157024806036,3.76668352445812,3.390123493784186,3.0377079777251024,2.8054789752111082,2.494842849031019
18,1.6853699999999998,4.588542522655768,4.1624911588409805,3.761947555443882,3.3861993893981115,3.034482091995872,2.8026360893702544,2.492536182450798
19,1.7234500000000001,4.579167190490255,4.154560758117709,3.755289507861527,3.380645104100721,3.0298839040713434,2.7985709723143657,2.489216703647997
20,1.76152,4.56989223661345,4.146725467854282,3.748708832085939,3.375156463672243,3.0253442503636765,2.7945567815591037,2.4859422976404417
21,1.7995999999999999,4.5599547860311604,4.138319514831786,3.741643564467966,3.369263013218807,3.02046639895859,2.790243024329568,2.4824213169294835
22,1.83768,4.5443710567089335,4.125067457426708,3.7304490856888255,3.359872150027225,3.0126488291067046,2.7833110561148837,2.476723585342248
23,1.87575,4.528360719659689,4.111457603529831,3.718953264083328,3.350226001234318,3.0046198856939323,2.7761873653566647,2.470874727323894
24,1.91383,4.507175881827444,4.093404732437336,3.7036662239462257,3.3373741946762068,2.993891864503679,2.766661151474774,2.463032060951142
25,1.9519000000000002,4.476244312161458,4.066986669947991,3.6812446887850956,3.3184757663038655,2.978084374050262,2.752602496837128,2.4514297931867195
26,1.98998,4.419861827393053,4.018711317972349,3.6401684037923023,3.2837605714608857,2.9489766087656424,2.7266810098182592,2.429977793990663
27,2.02806,4.112031729406103,3.7537335768440117,3.413513804167648,3.091235111753382,2.786703500122162,2.5817896932064923,2.3094770015717323
28,2.0661300000000002,3.6567710198763437,3.3588938254710365,3.073305897610899,2.8001949384947276,2.539685853067646,2.360440025365951,2.1241615295894856
29,2.10421,3.7133743368799115,3.4080251715852845,3.115689358918026,2.836503844877405,2.570552896759033,2.3881259589182893,2.147387275845505
30,2.1422800000000004,3.6855996643938553,3.3838444694370575,3.094778610089039,2.8185572671042878,2.555278718059239,2.3744177970555436,2.135885759035161
31,2.1803600000000003,3.7486121351315562,3.438659797794427,3.142162733433556,2.8592242633952916,2.5899082111344165,2.4055068057556266,2.162001466868699
32,2.21844,3.783302871709731,3.468913982164189,3.168367342725578,2.8817623350550887,2.609139953274204,2.422788795656453,2.1765467230285758
33,2.25651,3.8056721733487544,3.488465975266623,3.185344346010495,2.8964011408224724,2.6216597718805925,2.434052495089129,2.186049128802728
34,2.2945900000000004,3.8205683113933175,3.501532340821528,3.196738362607088,2.906258811970762,2.6301179662170124,2.4416764618593843,2.192502492545554
35,2.3326700000000002,3.83469655552925,3.5139374622270334,3.2075541267531036,2.9156204996650503,2.638156665332595,2.4489229748720556,2.1986376953807625
36,2.3707399999999996,3.8479665652967117,3.5255998162318445,3.217726483242843,2.9244351467850715,2.645730342614226,2.4557530904854867,2.204422921217593
37,2.40882,3.859675692674733,3.5359215656597915,3.2267667680335634,2.9322906494315446,2.652500800364486,2.4618672422254053,2.2096168980344357
38,2.44689,3.8714350091971093,3.546288605782903,3.2358437026274904,2.9401753275753117,2.65929727332224,2.4680053592832647,2.2148320855784527
39,2.4849699999999997,3.867189007584676,3.5427966931857346,3.232993162378164,2.937874110226229,2.657453445491117,2.4664056743106455,2.21357269865247
40,2.52305,3.828949898500603,3.5097978926890154,3.204703586503777,2.913789737209837,2.6371095532309696,2.448221989322256,2.198422936768121
41,2.56112,3.8003822375337375,3.4851280510330134,3.1835322168519946,2.895755632944837,2.62187114544148,2.4345977060723065,2.187067243707102
42,2.5991999999999997,3.8364883079827234,3.516609613241728,3.210807814837692,2.919216379706565,2.6418898476079544,2.452586672852418,2.2022064002278636
43,2.63727,3.8584912288679547,3.535871745895111,3.2275608471030184,2.9336764855530206,2.654269834474064,2.4637335413601273,2.211618660411524
44,2.67535,3.876283280541802,3.5514834485182503,3.2411619962926617,2.9454415048369214,2.6643637349816562,2.472828379519065,2.2193128516940552
45,2.71343,3.8855080452742508,3.559676535273475,3.248386079724526,2.951754353063962,2.6698399361591,2.477789200333031,2.2235496944471507
46,2.7515,3.8950740961883135,3.568164011547267,3.2558585673781177,2.9582860175207086,2.6754949918880637,2.482911787043104,2.227921755585984
47,2.78958,3.9029537918520485,3.575188598367252,3.2620808895223616,2.963745482451893,2.680246019156618,2.487222548607897,2.2316150734552345
48,2.82766,3.9054582301553626,3.5775663598633787,3.264304310916836,2.965798708073975,2.682109358393361,2.4889480514997113,2.2331501998344847
49,2.86573,3.902968848595355,3.57562338904083,3.2628016689854054,2.9646645106166614,2.681270367951686,2.48825605294414,2.2326623531094723
50,2.90381,3.884715056793442,3.559998099209141,3.2495181514235445,2.9534501788441894,2.671878878046426,2.479898148311915,2.225755610073293
51,2.9418800000000003,3.8845895839325544,3.5600750933909207,3.2497421224431347,2.9537747562515877,2.6722691061588333,2.480299567387441,2.2261745219349884
52,2.97996,3.894958661156297,3.569260046370243,3.2578254401501527,2.960827932722469,2.678369672316128,2.4858235731730405,2.2308859547086124
53,3.01804,3.898863376587116,3.5728561275662902,3.2610994892365217,2.9637783048863486,2.6810004601739377,2.4882380789556837,2.232999073403367
54,3.0561100000000003,3.9030290755685813,3.576678662238158,3.264569003939988,2.9668964361596704,2.6837710797720273,2.490781398322264,2.2352208970748904
55,3.09419,3.903882291022616,3.5776388249756415,3.265587054029033,2.9679248724392924,2.684775917161475,2.4917400110399384,2.2361197016389074
56,3.13226,3.8998420649020384,3.5743597786457455,3.2629482681982283,2.965827883571269,2.683133707188429,2.490332048610854,2.2350379545530106
57,3.17034,3.8949686989851684,3.570347023054187,3.259678291312215,2.963183854128979,2.6810167196786217,2.4884957061235586,2.233598276446045
58,3.2084200000000003,3.8935884975154056,3.5693551568300883,3.258998233852733,2.9627535155438887,2.680779330910241,2.4883429272216793,2.2335611576734897
59,3.2464899999999997,3.8978846882721934,3.5732999763789,3.262577697965815,2.9659664671834167,2.6836344999326847,2.4909611382068277,2.2358466135265362
60,3.28457,3.8997818379288125,3.57516595301967,3.2643776105232476,2.967669586837968,2.685211671886996,2.492438000924995,2.2371828893385266
61,3.32265,3.9018797441628514,3.5772130924410974,3.2663322666942136,2.969500349293181,2.6869026603740926,2.4940167162444156,2.2386040080592147
62,3.3607199999999997,3.904173388059875,3.579427807434632,3.2684335220780034,2.9714624014862188,2.688704213493038,2.495694288500346,2.2401073183477034
63,3.3988,3.905919970283429,3.5811760282679743,3.270135701826886,2.97308528852321,2.6902195993295512,2.4971172292531443,2.241401172705345
64,3.43687,3.906612580475528,3.5820139061285143,3.2710560191073834,2.974044432996758,2.6911756582049486,2.498039893993906,2.2422761152012907
65,3.4749499999999998,3.9075210039883532,3.583037475839228,3.2721432966024837,2.975142161082454,2.6922487855140673,2.499070402665406,2.243243854628625
66,3.51303,3.90864022190747,3.584246737400115,3.273389389911475,2.9763784727802975,2.693445485058782,2.500205759602902,2.2443017396464504
67,3.5511,3.9099702342328775,3.585641690811176,3.2747942990343573,2.9777533680902883,2.694756001136282,2.501451956135879,2.2454497702547673
68,3.58918,3.910697976826025,3.5865203302973634,3.275759410518772,2.978759922746939,2.695754334723856,2.5024135645182963,2.2463644828641653
69,3.62725,3.911295227643849,3.5872857430456406,3.2766308613949944,2.9796825978488695,2.696687630292696,2.5033182552706017,2.247231471337421
70,3.66533,3.9121082917824,3.5882413767136074,3.2776692724858205,2.980747503500109,2.6977412461961947,2.504333785618388,2.2481912567420643
71,3.70341,3.9131371692416774,3.5893872313012647,3.278870571590894,2.981954639700658,2.698918434335289,2.505460155561656,2.2492438390780967
72,3.74148,3.9143818600216815,3.590718777739095,3.2802347587102143,2.983304006450517,2.700215942809042,2.5066913737709187,2.25038656700462
73,3.77956,3.912851091118854,3.5896499173332175,3.279530268048595,2.982888255614074,2.700017576851902,2.506589521169666,2.250413080413588
74,3.81764,3.910386804131024,3.5877748825534153,3.2781375755267814,2.9818853478945844,2.6993249219523796,2.5060413145217457,2.2500710574379
75,3.85571,3.908068065661823,3.586026661720073,3.2768548324145845,2.980977260541301,2.6987103126753387,2.505565003827651,2.2497900153028385
76,3.89379,3.9058848378823803,3.584400725763674,3.2756779665116484,2.9801603466170627,2.6981802528226524,2.505163584752125,2.2495699540084035
77,3.93186,3.903842139707132,3.582897074684219,3.274611050018329,2.9794418999961922,2.697728238592448,2.504837057295167,2.249413524895492
78,3.9699400000000002,3.9019399711360774,3.581515708481707,3.2736500107342703,2.9788109798672044,2.697357521885661,2.504579430127292,2.249318076623207
79,4.00802,3.900178332169217,3.5802566271561393,3.2727989208598287,2.9782785270415846,2.6970681027022927,2.5043936989132427,2.2492836091915485
80,4.04609,3.89820087988163,3.578816383049914,3.2717890151714957,2.9776111375409786,2.696664866986139,2.5041121064274257,2.249169601532986
81,4.08417,3.896002595358881,3.577190447093515,3.270624365869628,2.976812458302549,2.6961575704400103,2.5037346526698414,2.248976053647519
82,4.12224,3.8939498593547617,3.5756867960140597,3.2695696659773774,2.9761122463674874,2.695728319516362,2.5034290948660827,2.248843486602679
83,4.16032,3.8920426718692718,3.5743144879505806,3.2686208432943875,2.9755032078614705,2.6953836180170696,2.503198428680892,2.248774551739362
84,4.1983999999999995,3.8902760139879757,3.573064464764046,3.2677860422213705,2.974992636658821,2.695116962140258,2.50304265411427,2.248769249057568
85,4.236470000000001,3.888649885710874,3.5719412555239707,3.2670611905579703,2.9745732388852164,2.6949348556878014,2.5029587755014737,2.2488249272164014
86,4.2745500000000005,3.8871693059524013,3.5709448602303557,3.2664422161038305,2.97425230841498,2.6948340467587633,2.5029497885072454,2.2489442375567577
87,4.31262,3.885834274712558,3.5700707498136848,3.265937263259665,2.9740261983109497,2.6948145353531427,2.5030126974668425,2.2491245287377404
88,4.3507,3.8829734934843234,3.567878680167732,3.264296166516124,2.9728336498590475,2.6939787968124045,2.5023476598939562,2.2486950115124578
89,4.38878,3.8788680214760847,3.564613221046385,3.261734752492086,2.970857009917363,2.6924796704805747,2.5010864850372654,2.247772344880369
90,4.42685,3.8748579088421202,3.56143381424585,3.2592466380744596,2.968942367907429,2.6910358264646694,2.4998762364812013,2.2468920997026296
91,4.464930000000001,3.870938136667995,3.558335930696611,3.2568318232632447,2.9670897238292446,2.6896440128637513,2.498716914225764,2.246054275979239
92,4.503010000000001,3.8671137238681434,3.5553195703986678,3.254490308058441,2.965302724619973,2.6883107334796943,2.49760552260621,2.2452588737101973
93,4.54108,3.8633846704425676,3.5523892624215363,3.2522220924600482,2.9635813702796128,2.687032736411562,2.4965450572872823,2.2445058928955044
94,4.57916,3.859750976391265,3.5495359486261844,3.2500271764680666,2.961922013871003,2.6858067697584165,2.4955355182689813,2.2437953335351604
95,4.617229999999999,3.8562076227998023,3.5467732162211614,3.247901487882141,2.960324655394144,2.6846360854211957,2.494573909886564,2.243127195629165
96,4.65531,3.8527596285826142,3.5440874779979175,3.245853171102982,2.958792941786196,2.683523935300836,2.493663227804773,2.242501479177519
